#TYPE Selected.System.IO.FileInfo
"FullName","LastWriteTime","SizeInGB"
"\\hs.wvu-ad.wvu.edu\Public\SOD\endo\aborgia\20200702 PROFILE BACKUP\Documents\Outlook Files.zip","2/14/2020 2:14:16 PM","12.5"
"\\hs.wvu-ad.wvu.edu\Public\SOD\dentadmin\ljrudy\Outlook Archive\ljrudy@hsc.wvu.edu.ost","11/21/2016 5:06:40 PM","5.93"
"\\hs.wvu-ad.wvu.edu\Public\SOD\dentadmin\MBAGBY\Documents\DENTMAT\Lectures\04_Gypsum\Alton Brown Fudge\crystals.camrec","8/27/2015 11:48:37 AM","5.59"
"\\hs.wvu-ad.wvu.edu\Public\SOD\dentadmin\ricep\RChristopher\backup.pst","4/2/2015 3:46:25 PM","5.12"
"\\hs.wvu-ad.wvu.edu\Public\SOD\dentadmin\preed\PFREED 20190708\AppData\Local\Microsoft\Outlook\pfreed@hsc.wvu.edu.ost","7/3/2019 4:01:33 PM","4.94"
"\\hs.wvu-ad.wvu.edu\Public\SOD\dprh\rwiener2\rwiener2@hsc.wvu.edu\HSDENTA1EC\Data\C\Users\rwiener2\Desktop\Birth\Nat2017PublicUS.c20180516.r20180808 (2020_08_18 02_52_23 UTC).txt","2/27/2020 3:33:38 PM","4.85"
"\\hs.wvu-ad.wvu.edu\Public\SOD\dprh\rwiener2\rwiener2@hsc.wvu.edu\HSDENTA1EC\Data\C\Users\rwiener2\Desktop\Birth\Nat2017PublicUS.c20180516.r20180808 (2020_02_27 21_59_54 UTC).txt","2/27/2020 3:33:38 PM","4.85"
"\\hs.wvu-ad.wvu.edu\Public\SOD\ortho\PNGAN\50th Anniversary\GMT20200911-171610_50th-Anniv_gallery_3840x2160 (1).mp4","9/14/2020 10:35:47 AM","4.59"
"\\hs.wvu-ad.wvu.edu\Public\SOD\perio\dlanderson\archive.pst","12/13/2011 10:11:29 AM","3.89"
"\\hs.wvu-ad.wvu.edu\Public\SOD\dentadmin\MSTURMS\archive.pst","8/12/2011 3:36:50 PM","3.87"
"\\hs.wvu-ad.wvu.edu\Public\SOD\dentadmin\MBAGBY\AppData\Local\Microsoft\Outlook\outlook.ost","6/19/2017 9:14:54 AM","3.8"
"\\hs.wvu-ad.wvu.edu\Public\SOD\endo\Residents-Shared\STUDENT VIDEOS\INSTRUMENTATION.MP4","1/11/2015 1:20:14 AM","3.73"
"\\hs.wvu-ad.wvu.edu\Public\SOD\endo\mls0001\721 Lectures 2018\Videos\INSTRUMENTATION.MP4","1/11/2015 1:20:14 AM","3.73"
"\\hs.wvu-ad.wvu.edu\Public\SOD\endo\mls0001\Desktop\721 Course 2017\Videos\INSTRUMENTATION.MP4","1/11/2015 1:20:14 AM","3.73"
"\\hs.wvu-ad.wvu.edu\Public\SOD\endo\mls0001\Backup\Old Desktop\721 Course 2017\Videos\INSTRUMENTATION.MP4","1/11/2015 1:20:14 AM","3.73"
"\\hs.wvu-ad.wvu.edu\Public\SOD\endo\mls0001\721 Lectures 2018\Videos\ACCESS.MP4","1/11/2015 1:02:30 AM","3.73"
"\\hs.wvu-ad.wvu.edu\Public\SOD\endo\mls0001\Desktop\721 Course 2017\Videos\ACCESS.MP4","1/11/2015 1:02:30 AM","3.73"
"\\hs.wvu-ad.wvu.edu\Public\SOD\endo\Residents-Shared\STUDENT VIDEOS\ACCESS.MP4","1/11/2015 1:02:30 AM","3.73"
"\\hs.wvu-ad.wvu.edu\Public\SOD\endo\mls0001\Backup\Old Desktop\721 Course 2017\Videos\ACCESS.MP4","1/11/2015 1:02:30 AM","3.73"
"\\hs.wvu-ad.wvu.edu\Public\SOD\endo\Residents-Shared\Poulos GoPro\GP031720.MP4","9/20/2019 9:56:01 AM","3.73"
