Table Name,Exported Records Count
Awards,0
academic action,764
cluster/obj lookup,330
cluster2,313
cn-advisor comments,0
DNP specialty,0
addresses,14784
GPA by semester,34235
High school,7053
Legacy,0
license,3047
lockers,353
courses,120502
objectives,307
presentations,37
probation - academic,0
probation - program,0
publications,38
scholarships,126
spec codes,0
graduation info,3889
tblTest,5
TestImport,224
tests,1107
transfer courses,35947
v-admit_type,1
v-advisors,62
v-awards,18
v-college,13
v-colleges,20
v-counties,55
v-ethnic,5
V-Level Codes,3
v-major codes,2
v-masters program,204
V-Nursing - required courses,46
V-Nursing Masters required,37
v-scholarship,54
v-specialty,37
v-states,51
college,9670
Application,12027
MAIN,6370
student status,6580
Stored Procedures,30
Functions,1
Triggers,2
